,sum,week_sum,slope7,slope21,std7,std21,mean7,mean21,cross,skew7,skew21,kurt7,kurt21,min7,min21,max7,max21,weekofyear,month,year,quarter
2016-12-26,4602.0,,,,,,,,,,,,,,,,,52,1,2017,1
2016-12-27,6680.0,,,,,,,,,,,,,,,,,1,1,2017,1
2016-12-28,4125.0,,,,,,,,,,,,,,,,,1,1,2017,1
2016-12-29,3743.0,,,,,,,,,,,,,,,,,1,1,2017,1
2016-12-30,3536.0,,,,,,,,,,,,,,,,,1,1,2017,1
2016-12-31,3101.0,,,,,,,,,,,,,,,,,1,1,2017,1
2017-01-01,5128.0,30915.0,-220.32142857142858,,1204.7454581975478,,4416.428571428572,,,1.1577239623078728,,1.31630452626395,,3101.0,,6680.0,,1,1,2017,1
2017-01-02,6623.0,32936.0,42.607142857142854,,1469.6654300181644,,4705.142857142857,,,0.5895135253097047,,-1.575650221416815,,3101.0,,6680.0,,1,1,2017,1
2017-01-03,2879.0,29135.0,129.07142857142856,,1312.1415610331367,,4162.142857142857,,,1.2576788295389711,,1.165803931244011,,2879.0,,6623.0,,2,1,2017,1
2017-01-04,2929.0,27939.0,-8.357142857142874,,1393.1504721656013,,3991.285714285714,,,1.407086676772024,,1.1803322175266957,,2879.0,,6623.0,,2,1,2017,1
2017-01-05,2835.0,27031.0,-167.7142857142857,,1460.7520730937263,,3861.5714285714284,,,1.4801527129145027,,1.1458422135492654,,2835.0,,6623.0,,2,1,2017,1
2017-01-06,2474.0,25969.0,-362.8928571428571,,1552.4720532719666,,3709.8571428571427,,,1.480524452716224,,1.0243280172722535,,2474.0,,6623.0,,2,1,2017,1
2017-01-07,2773.0,25641.0,-550.25,,1578.6408711293398,,3663.0,,,1.4974353808708611,,0.9971540889379327,,2474.0,,6623.0,,2,1,2017,1
2017-01-08,4915.0,25428.0,-206.82142857142853,,1547.4408827849566,,3632.5714285714284,,,1.598037442232905,,1.5988692733399574,,2474.0,,6623.0,,2,1,2017,1
2017-01-09,6434.0,25239.0,520.5357142857142,,1487.0370828309178,,3605.5714285714284,,,1.5395224005267605,,1.2711698597380021,,2474.0,,6434.0,,2,1,2017,1
2017-01-10,2726.0,25086.0,322.50000000000006,,1500.559419492801,,3583.714285714286,,,1.5389536773595704,,1.2391371993446385,,2474.0,,6434.0,,3,1,2017,1
2017-01-11,2313.0,24470.0,92.82142857142858,,1562.1527576057465,,3495.714285714286,,,1.4924784352636393,,1.0615417748474811,,2313.0,,6434.0,,3,1,2017,1
2017-01-12,2244.0,23879.0,-135.67857142857142,,1618.758548423834,,3411.285714285714,,,1.4685931579922171,,0.924982820572054,,2244.0,,6434.0,,3,1,2017,1
2017-01-13,2154.0,23559.0,-404.2857142857143,,1653.7789913954502,,3365.5714285714284,,,1.4333390011693523,,0.8178840856099263,,2154.0,,6434.0,,3,1,2017,1
2017-01-14,2483.0,23269.0,-583.5,,1674.5988005660172,,3324.1428571428573,,,1.460650829902767,,0.8218720897200746,,2154.0,,6434.0,,3,1,2017,1
2017-01-15,3477.0,21831.0,-339.8571428571429,-110.47272727272727,1528.7696266699477,1467.6170676109136,3118.714285714286,3722.5714285714284,-1.0,2.225424301164709,1.009902792664922,5.098430129305678,-0.14684784329285072,2154.0,2154.0,6434.0,6680.0,3,1,2017,1
2017-01-16,4792.0,20189.0,313.0357142857143,-84.02077922077919,952.7520538894031,1473.8819652940485,2884.1428571428573,3731.6190476190477,-1.0,1.6852715533171063,0.9860958883944739,2.504930098620355,-0.2233842668444644,2154.0,2154.0,4792.0,6680.0,3,1,2017,1
2017-01-17,2641.0,20104.0,264.3928571428571,-56.06493506493506,955.6407972315399,1326.0133160288074,2872.0,3539.285714285714,-1.0,1.7206198441217724,1.2003817595191864,2.5835790804217993,0.5659770544246003,2154.0,2154.0,4792.0,6623.0,4,1,2017,1
2017-01-18,2334.0,20125.0,126.89285714285714,-63.35064935064935,953.6243145669752,1343.933257271357,2875.0,3454.0,-1.0,1.7234453826090663,1.3192796339299542,2.5999550242075147,0.7708534469075812,2154.0,2154.0,4792.0,6623.0,4,1,2017,1
2017-01-19,2411.0,20292.0,-12.964285714285714,-72.76753246753246,937.1541012682009,1360.936683737659,2898.8571428571427,3390.5714285714284,-1.0,1.7518770827249919,1.3996961174410034,2.7418036591722825,0.8854288286359828,2154.0,2154.0,4792.0,6623.0,4,1,2017,1
2017-01-20,2307.0,20445.0,-182.78571428571428,-84.76233766233764,918.4847511500874,1380.6524717027985,2920.714285714286,3332.0476190476193,-1.0,1.8229343025848816,1.4544453203234275,2.946293265154736,0.9522148130384357,2307.0,2154.0,4792.0,6623.0,4,1,2017,1
2017-01-21,1672.0,19634.0,-379.10714285714283,-109.62207792207792,1027.571478222874,1427.0451990038716,2804.8571428571427,3264.0,-1.0,1.3770130352666683,1.3886348005730955,1.9578911031272397,0.8287191805026162,1672.0,1672.0,4792.0,6623.0,4,1,2017,1
2017-01-22,258.0,16415.0,-555.9642857142857,-122.03246753246754,1347.2097089911426,1502.6863247119106,2345.0,3032.095238095238,-1.0,0.5041827663458928,1.1574321512225503,2.3969739945062756,1.6202354700982695,258.0,258.0,4792.0,6623.0,4,1,2017,1
2017-01-23,3197.0,14820.0,-115.10714285714283,-68.5922077922078,936.7058287017375,1259.6625133816783,2117.1428571428573,2868.9523809523807,-1.0,-1.4390325842676068,1.1167516364947982,2.742123284076814,2.9884757840740632,258.0,258.0,3197.0,6434.0,4,1,2017,1
