date,MLB,엠엘비,반팔티,긴팔티
2018-01-08,18,22,2,1
2018-01-15,14,20,1,1
2018-01-22,16,16,2,1
2018-01-29,18,19,3,1
2018-02-05,15,20,2,1
2018-02-12,15,22,3,1
2018-02-19,22,22,3,1
2018-02-26,32,20,4,1
2018-03-05,31,23,5,1
2018-03-12,34,27,7,1
2018-03-19,38,25,5,1
2018-03-26,54,30,7,1
2018-04-02,62,26,7,1
2018-04-09,57,24,8,2
2018-04-16,52,29,9,1
2018-04-23,63,26,12,1
2018-04-30,46,25,12,1
2018-05-07,50,19,13,1
2018-05-14,43,20,14,0
2018-05-21,48,21,10,1
2018-05-28,46,26,12,1
2018-06-04,54,22,12,1
2018-06-11,51,26,9,1
2018-06-18,47,26,13,1
2018-06-25,46,24,10,1
2018-07-02,57,20,7,1
2018-07-09,57,19,12,1
2018-07-16,49,21,12,2
2018-07-23,56,20,8,1
2018-07-30,54,26,9,1
2018-08-06,47,17,11,2
2018-08-13,53,23,6,1
2018-08-20,53,18,5,1
2018-08-27,48,19,5,2
2018-09-03,49,15,5,2
2018-09-10,49,20,3,2
2018-09-17,47,18,2,2
2018-09-24,72,18,3,1
2018-10-01,83,21,2,2
2018-10-08,59,21,4,1
2018-10-15,61,22,2,2
2018-10-22,65,19,2,1
2018-10-29,41,20,4,1
2018-11-05,24,22,1,1
2018-11-12,25,21,2,1
2018-11-19,20,20,2,1
2018-11-26,21,20,2,1
2018-12-03,20,17,3,1
2018-12-10,19,26,2,1
2018-12-17,19,21,1,1
2018-12-24,20,20,3,1
2018-12-31,21,18,3,1
2019-01-07,21,17,3,0
2019-01-14,20,15,2,1
2019-01-21,20,19,3,1
2019-01-28,26,19,2,1
2019-02-04,24,16,2,1
2019-02-11,24,15,3,0
2019-02-18,28,21,2,1
2019-02-25,35,20,3,1
2019-03-04,30,17,5,1
2019-03-11,32,22,3,2
2019-03-18,42,20,5,1
2019-03-25,63,20,6,1
2019-04-01,92,21,6,1
2019-04-08,67,18,8,2
2019-04-15,69,18,9,2
2019-04-22,72,16,14,1
2019-04-29,70,16,12,2
2019-05-06,63,22,18,2
2019-05-13,69,21,20,2
2019-05-20,73,17,21,2
2019-05-27,85,23,17,1
2019-06-03,86,20,17,1
2019-06-10,79,20,12,2
2019-06-17,88,24,15,2
2019-06-24,83,22,13,1
2019-07-01,84,21,15,1
2019-07-08,67,21,13,1
2019-07-15,84,21,14,2
2019-07-22,80,25,13,2
2019-07-29,75,25,10,1
2019-08-05,65,29,10,1
2019-08-12,74,20,6,1
2019-08-19,84,26,8,2
2019-08-26,58,24,7,2
2019-09-02,57,24,3,1
2019-09-09,60,23,4,1
2019-09-16,66,24,4,1
2019-09-23,71,22,4,3
2019-09-30,85,19,4,1
2019-10-07,100,22,3,2
2019-10-14,67,26,2,2
2019-10-21,59,22,4,1
2019-10-28,70,24,2,1
2019-11-04,36,22,1,1
2019-11-11,34,24,1,2
2019-11-18,31,25,1,1
2019-11-25,27,22,1,1
2019-12-02,24,20,2,1
2019-12-09,27,26,1,1
2019-12-16,34,20,2,1
2019-12-23,40,22,2,1
2019-12-30,44,29,2,2
