time,temp,temp_min,temp_max,rain,humidity,snow
2016.1.1,1.2,-3.3,4,,73,
2016.1.2,5.7,1,9.5,,76.9,
2016.1.3,6.5,5.1,9.4,,80.6,
2016.1.4,2,-2.5,5.3,,54.4,
2016.1.5,-2.7,-4.8,1.5,,39.4,
2016.1.6,-1.7,-4.9,1.7,,54.3,
2016.1.7,-3.4,-5.9,1.4,,51.8,
2016.1.8,-3.3,-6.9,1,,49.8,
2016.1.9,-2.1,-6.2,2.4,,57.1,
2016.1.10,0.3,-2.7,3.8,,42.3,
2016.1.11,-3.8,-6.5,0.9,,38.3,
2016.1.12,-5.2,-9.1,0.7,,46,
2016.1.13,-4.5,-8.2,0.1,0.4,63,0.5
2016.1.14,-3.4,-8.4,1.3,0,52.1,0
2016.1.15,-0.4,-4.3,5.3,,52.3,
2016.1.16,-0.2,-2.1,2.8,0.1,68,
2016.1.17,1.7,-0.7,5.4,,64,
2016.1.18,-6.3,-12.3,0.4,0.2,59.8,0.4
2016.1.19,-12.8,-15.1,-8.9,,45.9,
2016.1.20,-10.5,-14.5,-5.2,,43.6,
2016.1.21,-7.1,-10.2,-2.3,,44.3,
2016.1.22,-7.6,-11.1,-3.8,,40.5,
2016.1.23,-11.5,-16,-8.3,0,42,
2016.1.24,-14.4,-18,-10.5,,48.5,
2016.1.25,-9.4,-14.3,-3.4,,47.1,
2016.1.26,-3.3,-8.5,1.7,0.3,64.5,0.5
2016.1.27,-1.1,-4.7,4.3,,56.3,
2016.1.28,-0.5,-5.6,3.5,,51.5,
2016.1.29,1.9,-1.4,5.4,,43.6,
2016.1.30,0.6,-2.5,5.2,,59.5,
2016.1.31,-3.9,-6.5,0.3,,34,
2016.2.1,-6,-9.1,-1,,36,
2016.2.2,-5.3,-10,0.9,,41.8,
2016.2.3,-2.4,-8.3,4,,49.6,
2016.2.4,-0.7,-4,3.9,,50.1,
2016.2.5,-2.2,-6.8,3.4,,39.4,
2016.2.6,-3.1,-6.2,2,,38.6,
2016.2.7,-2.9,-8.3,3.5,,46.5,
2016.2.8,1.3,-4.3,5.5,,62.1,
2016.2.9,0.3,-3.9,5.5,,52.5,
2016.2.10,2.7,-4.3,10.7,,38.5,
2016.2.11,8.1,1.6,13.5,0.1,29.3,
2016.2.12,8.4,6.8,10,18,95.3,
2016.2.13,11,5.8,14.4,21,95,
2016.2.14,-2.6,-6.8,5.8,2.5,73.1,
2016.2.15,-5.8,-10,-2.3,0,48.4,
2016.2.16,-2.7,-6.7,1.1,0.8,65.6,1.2
2016.2.17,0,-5.2,5.4,,53.9,
2016.2.18,3.5,-1.4,7.8,,66.4,
2016.2.19,2.3,0.1,4.4,,56.4,
2016.2.20,1.3,-2.5,6.3,,37.1,
2016.2.21,-0.6,-4.2,4.4,,36.4,
2016.2.22,1.1,-2.2,4.2,0,36.6,
2016.2.23,0.7,-4.5,4.5,0.9,56,0.3
2016.2.24,-3,-6.8,2.2,,42,
2016.2.25,-0.2,-5.8,5.7,,49.9,
2016.2.26,2.2,-3.2,7.5,0,41.3,
2016.2.27,3.3,0.5,8.1,0.2,57.6,
2016.2.28,0.7,-2.6,6.9,4.1,65.5,5
2016.2.29,-3.8,-5.9,-1.1,0,48.6,
2016.3.1,-2.7,-7.5,2.1,,47.3,
2016.3.2,3.1,-2.2,8.1,,67.9,
2016.3.3,8.1,4.4,13.9,,65.1,
2016.3.4,13.2,6.4,20.3,0.1,55.3,
2016.3.5,11.3,9.1,13.5,40,91.3,
2016.3.6,7.9,4.3,12.9,0.2,51,
2016.3.7,8.1,4.8,12.2,0,36.9,
2016.3.8,2.7,-1.4,7,,40.4,
2016.3.9,0.3,-2.7,5.3,,37.5,
2016.3.10,-1.1,-4.3,3.1,,37.8,
2016.3.11,-0.5,-5.5,4.6,,43.8,
2016.3.12,2,-3.3,6.4,,55.6,
2016.3.13,3.7,1.9,6.5,0.1,68.1,
2016.3.14,4.7,1.3,9.6,,57,
2016.3.15,5.2,-1,12.4,,43.4,
2016.3.16,7.5,2.7,13.8,,45.1,
2016.3.17,9.3,2,14.7,,40.9,
2016.3.18,13.4,8.8,20.1,,50,
2016.3.19,11.4,6.6,18.1,,58.3,
2016.3.20,10.6,4.9,17.5,,54,
2016.3.21,9.9,5.5,16.1,,54.1,
2016.3.22,8,3.5,13.8,,58.1,
2016.3.23,8.2,3.8,13.8,,49.6,
2016.3.24,7.2,1.6,12.7,,36.5,
2016.3.25,7.1,2.1,12.6,,43.9,
2016.3.26,6.5,2.1,12.6,,54.5,
2016.3.27,7.2,2.2,13.1,,55.6,
2016.3.28,9.8,2.3,17.4,,47.8,
2016.3.29,11.3,7.6,17.1,0.1,57.8,
2016.3.30,11.5,7,18.3,,49.9,
2016.3.31,13.5,6,21.4,,27,
2016.4.1,15.3,7.3,23.8,,26,
2016.4.2,15,9.6,21.7,,40.8,
2016.4.3,10.7,8.2,12.7,2,75.1,
2016.4.4,12.3,5.1,19.8,,42.6,
2016.4.5,11.4,5.9,18.1,,45.1,
2016.4.6,14.4,6.6,22.9,3,44.3,
2016.4.7,14.1,10.5,20.6,7.5,69.5,
2016.4.8,11.1,7.8,18.7,,76.1,
2016.4.9,10.7,7.4,14.1,,83.9,
2016.4.10,13.4,9.3,20.7,,71.3,
2016.4.11,12.5,5.7,19.4,,43.8,
2016.4.12,14.1,10.3,19.4,,42.6,
2016.4.13,15.6,11.4,21.4,1,67.5,
2016.4.14,12.4,9.3,18.6,,75.9,
2016.4.15,15,8.1,23.1,,46.4,
2016.4.16,14.9,9.8,20.7,23.5,58.9,
2016.4.17,10.8,8.3,14.5,20.5,66.8,
2016.4.18,11.2,7.1,18.6,1.5,65.4,
2016.4.19,12,6.5,19.2,,55.1,
2016.4.20,14.3,10.1,20.9,0.5,54,
2016.4.21,13.5,10.3,16.9,17,87.6,
2016.4.22,13.5,10.1,18.6,0,83.4,
2016.4.23,13.5,7.8,19.8,,52.1,
2016.4.24,15.5,8.1,23.7,,39.6,
2016.4.25,17.2,10.2,25.3,,34.8,
2016.4.26,21.1,12.1,29.6,,34.8,
2016.4.27,17.2,14.5,20.7,,32,
2016.4.28,17.2,12.4,23,,34.4,
2016.4.29,16.2,10.9,22.6,0.3,47.6,
2016.4.30,15.9,10.8,20.4,,45.3,
2016.5.1,18.8,12.2,26,,40.5,
2016.5.2,21.1,16.5,28.4,16.5,64.5,
2016.5.3,12.9,8.9,17.6,27,86.1,
